06/01/1996  00:00:00    08/31/1996  24:00:00
06/01/1997  00:00:00    08/31/1997  24:00:00
06/01/1998  00:00:00    08/31/1998  24:00:00
06/01/1999  00:00:00    08/31/1999  24:00:00
06/01/2000  00:00:00    08/31/2000  24:00:00
06/01/2001  00:00:00    08/31/2001  24:00:00
06/01/2002  00:00:00    08/31/2002  24:00:00
06/01/2003  00:00:00    08/31/2003  24:00:00
06/01/2004  00:00:00    08/31/2004  24:00:00
06/01/2005  00:00:00    08/31/2005  24:00:00
06/01/2006  00:00:00    08/31/2006  24:00:00
06/01/2007  00:00:00    08/31/2007  24:00:00
06/01/2008  00:00:00    08/31/2008  24:00:00
06/01/2009  00:00:00    08/31/2009  24:00:00
06/01/2010  00:00:00    08/31/2010  24:00:00
